ê^âûóÕÉ–t,òcÉ√t
346.0000175,0.001687805
350.8641332,0.011604902
411.7191172,0.023429181
455.0711583,0.034454372
491.6065838,0.047022698
517.9714076,0.058672695
545.7399593,0.07459853
569.7950508,0.092931717
587.8722712,0.110265964
632.1939663,0.181658003
