t,mu,totalMu,totalDamage,
2.26,-0.0325,1.48,1.921189880371094E-05,
2.28,-0.065,1.5125000000000002,2.1619842529296876E-05,
2.3,-0.115,1.5625,2.7509735107421878E-05,
2.32,-0.13875,1.5862500000000002,3.141712760925294E-05,
2.34,-0.1225,1.6025,3.1421318054199225E-05,
2.36,-0.09625,1.6287500000000001,3.1492094039917003E-05,
2.38,-0.04375,1.68125,3.225440788269044E-05,
2.4,-0.00375,1.72125,3.381983757019044E-05,
2.42,0.00125,1.72625,3.409681510925294E-05,
2.44,0.00375,1.72875,3.42429485321045E-05,
2.46,0.0175,1.7425000000000002,3.514241790771485E-05,
2.48,0.0325,1.7575,3.6321594238281256E-05,
2.5,0.09375,1.81875,4.369064140319825E-05,
2.52,0.12625,1.85125,4.9590589523315436E-05,
2.54,0.12875,1.85375,5.0109800338745124E-05,
2.56,0.11,1.8725,5.011623764038087E-05,
2.58,0.10875,1.87375,5.011761283874513E-05,
2.6,0.10875,1.87375,5.011761283874513E-05,
2.62,0.1025,1.88,5.0127464294433605E-05,
2.64,0.095,1.8875,5.0147342681884774E-05,
2.66,0.0625,1.92,5.0393760681152355E-05,
2.68,0.025,1.9575,5.1200397491455086E-05,
2.7,-0.0125,1.995,5.2861907958984386E-05,
2.72,-0.0325,2.015,5.420428466796876E-05,
2.74,-0.0475,2.0300000000000002,5.5456520080566414E-05,
2.76,-0.0625,2.045,5.6941116333007825E-05,
2.78,-0.07875,2.0612500000000002,5.883457756042482E-05,
2.8,-0.07125,2.06875,5.88349895477295E-05,
2.82,-0.0625,2.0775,5.8838768005371106E-05,
2.84,-0.05125,2.08875,5.8854887008667E-05,
2.86,-0.02,2.12,5.903260421752931E-05,
2.88,0.00625,2.14625,5.943430900573731E-05,
2.9,0.01,2.1500000000000004,5.951723861694337E-05,
2.92,0.00375,2.15625,5.951747703552247E-05,
2.94,-0.02125,2.1812500000000004,5.9547040939331065E-05,
2.96,-0.05875,2.21875,5.983457374572755E-05,
2.98,-0.0875,2.2475,6.135083389282228E-05,
3,-0.0775,2.2575000000000003,6.135181045532228E-05,
3.02,-0.0725,2.2625,6.135412979125978E-05,
3.04,-0.06875,2.2662500000000003,6.135727119445802E-05,
3.06,-0.0625,2.2725,6.136609268188477E-05,
3.08,-0.03875,2.29625,6.146397590637208E-05,
3.1,-0.03125,2.30375,6.152464103698732E-05,
3.12,-0.065,2.3375,6.156218338012697E-05,
3.14,-0.1025,2.375,6.389935302734377E-05,
3.16,-0.12125,2.39375,6.708152580261232E-05,
3.18,-0.11,2.405,6.708291625976564E-05,
3.2,-0.07875,2.43625,6.715649223327637E-05,
3.22,-0.0425,2.4724999999999997,6.75584526062012E-05,
3.24,-0.04125,2.47375,6.758152580261232E-05,
3.26,-0.05375,2.48625,6.758343315124514E-05,
3.28,-0.05125,2.4887499999999996,6.75834484100342E-05,
3.3,-0.04,2.5,6.760914611816409E-05,
3.32,-0.035,2.505,6.771192169189455E-05,
3.34,-0.035,2.505,6.771192169189455E-05,
3.36,-0.035,2.505,6.771192169189455E-05,
3.38,-0.025,2.5149999999999997,6.795610809326173E-05,
3.4,-0.02,2.5199999999999996,6.809898376464846E-05,
3.42,-0.04,2.54,6.810679626464846E-05,
3.44,-0.04,2.54,6.810679626464846E-05,
3.46,-0.0325,2.5475,6.810720825195315E-05,
3.48,-0.015,2.5649999999999995,6.827231597900392E-05,
3.5,-0.0025,2.5774999999999997,6.873627853393557E-05,
3.52,0.01375,2.59375,6.950367546081546E-05,
3.54,0.06125,2.64125,7.303689384460452E-05,
3.56,0.09875,2.67875,7.749940299987796E-05,
3.58,0.105,2.6849999999999996,7.841104888916018E-05,
3.6,0.08,2.71,7.842630767822267E-05,
3.62,0.05125,2.7387499999999996,7.85626964569092E-05,
3.64,0.03625,2.75375,7.872838401794437E-05,
3.66,0.0475,2.7649999999999997,7.872977447509767E-05,
3.68,0.07375,2.79125,7.87798824310303E-05,
3.7,0.115,2.8325,8.061265945434572E-05,
3.72,0.15125,2.86875,8.811913490295412E-05,
3.74,0.1575,2.875,8.969247817993167E-05,
3.76,0.1325,2.9,8.970773696899417E-05,
3.78,0.0675,2.965,9.040439224243166E-05,
3.8,0.00625,3.02625,9.307146263122561E-05,
3.82,-0.0125,3.045,9.449032974243167E-05,
3.84,-0.03375,3.06625,9.652379417419437E-05,
3.86,-0.02875,3.07125,9.652391624450686E-05,
3.88,-0.00125,3.09875,9.655731773376466E-05,
3.9,0.03125,3.1312499999999996,9.679198265075687E-05,
3.92,0.05625,3.15625,9.723570823669436E-05,
3.94,0.0625,3.1624999999999996,9.739456176757814E-05,
3.96,0.05625,3.16875,9.739480018615725E-05,
3.98,0.0575,3.17,9.73948020935059E-05,
4,0.06125,3.17375,9.739492225646976E-05,
4.02,0.04625,3.1887499999999998,9.739899635314943E-05,
4.04,0.01125,3.22375,9.752626228332521E-05,
4.06,-0.01,3.2449999999999997,9.776695251464845E-05,
4.08,-0.02125,3.2562499999999996,9.796846580505373E-05,
4.1,-0.03875,3.2737499999999997,9.881549263000491E-05,
4.12,-0.0475,3.2824999999999998,9.984746551513674E-05,
4.14,-0.0175,3.3125,9.987383270263674E-05,
4.16,0.02,3.3499999999999996,0.00010014780426025394,
4.18,0.0325,3.3625,0.00010034746551513674,
4.2,0,3.3949999999999996,0.00010038098907470705,
4.22,-0.01875,3.41375,0.0001004789218902588,
4.24,-0.0175,3.415,0.00010047892379760744,
4.26,-0.03625,3.43375,0.00010066480445861819,
4.28,-0.0625,3.46,0.00010283269882202151,
4.3,-0.05125,3.4712499999999995,0.00010283408927917482,
4.32,-0.02375,3.49875,0.00010288952064514162,
4.34,-0.005,3.5175,0.00010301835250854495,
4.36,0.03,3.5524999999999998,0.00010360560226440432,
4.38,0.0925,3.6149999999999998,0.000106469295501709,
4.4,0.15625,3.67875,0.000113054895401001,
4.42,0.175,3.6975,0.00011800179290771485,
4.44,0.16875,3.7037499999999994,0.00011800203132629396,
4.46,0.14625,3.72625,0.00011802499961853028,
4.48,0.11125,3.7612499999999995,0.00011825480461120607,
4.5,0.07625,3.7962499999999997,0.0001189421901702881,
4.52,0.08375,3.80375,0.00011894260215759278,
4.54,0.1,3.8199999999999994,0.00011895527267456055,
4.56,0.08625,3.8337499999999993,0.00011895781135559083,
4.58,0.075,3.8449999999999998,0.00011900452041625977,
4.6,0.0525,3.8674999999999997,0.00011982313919067383,
4.62,-0.025,3.9449999999999994,0.00012584045791625976,
4.64,-0.0675,3.9875,0.00013195424270629884,
4.66,-0.095,4.015000000000001,0.00013724963760375976,
4.68,-0.12375,4.043749999999999,0.00014406692695617673,
4.7,-0.15625,4.07625,0.00015352300071716306,
4.72,-0.16,4.08,0.00015474219131469724,
4.74,-0.1225,4.1175,0.0001547936897277832,
4.76,-0.1,4.14,0.00015495312881469724,
4.78,-0.08,4.16,0.00015524219131469725,
4.8,-0.0125,4.227499999999999,0.00015787602615356444,
4.82,0.04,4.279999999999999,0.00016255469131469725,
4.84,0.05875,4.29875,0.00016496438789367673,
4.86,0.05875,4.29875,0.00016496438789367673,
4.88,0.0525,4.305,0.00016496462631225583,
4.9,0.0125,4.345,0.0001650610008239746,
4.92,-0.09375,4.45125,0.00016842784309387208,
4.94,-0.17625,4.5337499999999995,0.00018079268074035643,
4.96,-0.17625,4.5337499999999995,0.00018079268074035643,
4.98,-0.15375,4.55625,0.000180803804397583,
5,-0.0825,4.6274999999999995,0.0001815973434448242,
5.02,-0.03125,4.67875,0.00018376985359191893,
5.04,-0.0425,4.6899999999999995,0.00018377124404907224,
5.06,-0.07125,4.71875,0.0001838323535919189,
5.08,-0.12875,4.77625,0.00018467498970031737,
5.1,-0.11,4.795,0.00018468142700195313,
5.12,-0.05375,4.85125,0.0001850869770050049,
5.14,0.0075,4.9125,0.00018866168975830078,
5.16,0.06375,4.96875,0.00019610295295715332,
5.18,0.0475,4.985,0.0001961071434020996,
5.2,0.01125,5.02125,0.00019624426460266114,
5.22,-0.00875,5.041250000000001,0.00019647509956359862,
5.24,-0.0025,5.047500000000001,0.00019647533798217772,
5.26,0.02625,5.076250000000001,0.00019651696968078612,
5.28,0.0375,5.0875,0.0001965717124938965,
5.3,0.05125,5.10125,0.00019668603706359862,
5.32,0.1025,5.152500000000001,0.00020449891662597657,
5.34,0.12625,5.1762500000000005,0.00021037912178039551,
5.36,0.0675,5.235,0.00021057714843750002,
5.38,0.0225,5.28,0.00021146971893310548,
5.4,0.01,5.2925,0.0002119133110046387,
5.42,0.01125,5.293750000000001,0.00021191331291198733,
5.44,0.01125,5.293750000000001,0.00021191331291198733,
5.46,-0.02,5.325000000000001,0.0002134339599609375,
5.48,-0.04375,5.348750000000001,0.00021517697715759277,
5.5,-0.0625,5.3675000000000015,0.0002169460334777832,
5.52,-0.08625,5.391250000000001,0.00021974992942810058,
5.54,-0.08,5.397500000000001,0.00021975016784667967,
5.56,-0.02125,5.456250000000001,0.00022001811790466308,
5.58,-0.02,5.457500000000001,0.0002200338897705078,
5.6,-0.00875,5.468750000000001,0.00022020450401306153,
5.62,-0.0375,5.4975000000000005,0.00022022771072387694,
5.64,-0.1175,5.577500000000001,0.00022543102645874026,
5.66,-0.14375,5.603750000000002,0.00023050995445251466,
5.68,-0.11125,5.636250000000001,0.00023054347801208498,
5.7,0.03125,5.7787500000000005,0.00023574371910095216,
5.72,0.1575,5.905000000000001,0.0002590045433044434,
5.74,0.20375,5.951250000000001,0.0002762856960296631,
5.76,0.16,5.995000000000001,0.0002763674736022949,
5.78,0.03375,6.121250000000001,0.0002810835475921631,
5.8,-0.09625,6.251250000000001,0.0003026528835296631,
5.82,-0.18875,6.343750000000001,0.00033533557701110835,
5.84,-0.13,6.402500000000001,0.00033553360366821286,
5.86,-0.03125,6.501250000000001,0.0003391509914398193,
5.88,0.04,6.572500000000002,0.00034702473831176755,
5.9,0.08,6.612500000000001,0.0003542915229797363,
5.92,0.0375,6.655000000000001,0.00035436648941040034,
5.94,-0.015,6.707500000000001,0.00035512880325317374,
5.96,-0.0475,6.74,0.0003563156166076659,
5.98,-0.0675,6.760000000000001,0.0003574253578186035,
6,-0.01,6.817500000000001,0.0003576110115051269,
6.02,0.00875,6.836250000000001,0.00035785828971862785,
6.04,-0.0225,6.867500000000001,0.00035788809204101554,
6.06,-0.07875,6.92375,0.0003590643672943115,
6.08,-0.14375,6.9887500000000005,0.0003660966777801513,
6.1,-0.165,7.010000000000001,0.00036951883697509757,
6.12,-0.1075,7.067500000000001,0.00036970449066162103,
6.14,0.01625,7.19125,0.00037533362770080555,
6.16,0.11125,7.286250000000001,0.0003912915287017821,
6.18,0.13875,7.313750000000001,0.0003992274875640868,
6.2,0.08625,7.366250000000001,0.00039936879920959465,
6.22,-0.03375,7.486250000000001,0.0004042401371002197,
6.24,-0.12,7.572500000000002,0.0004161451797485351,
6.26,-0.13,7.582500000000001,0.00041818343353271475,
6.28,-0.06375,7.6487500000000015,0.00041846739387512203,
6.3,0.01875,7.731250000000001,0.00042139761924743643,
6.32,0.09,7.802500000000002,0.00042858187103271474,
6.34,0.1325,7.8450000000000015,0.00043584738922119136,
6.36,0.1675,7.880000000000002,0.0004469896850585937,
6.38,0.16,7.887500000000001,0.00044699009704589836,
6.4,0.09375,7.953750000000001,0.00044738141441345207,
6.42,0.05,7.997500000000002,0.0004485738983154296,
6.44,0.0525,8.000000000000002,0.0004485739135742187,
6.46,0.0575,8.005000000000003,0.00044857431030273433,
6.48,0.075,8.022500000000003,0.0004485891571044921,
6.5,0.06,8.037500000000001,0.0004485924530029296,
6.52,-0.01,8.107500000000002,0.0004524814910888671,
6.54,-0.015,8.112500000000002,0.0004529561309814452,
6.56,0.04875,8.176250000000003,0.00045320914268493645,
6.58,0.08375,8.211250000000003,0.0004538965282440185,
6.6,0.04,8.255000000000003,0.0004539783058166503,
6.62,-0.04125,8.336250000000003,0.00045778440284728996,
6.64,-0.03125,8.346250000000001,0.00045778537940979,
6.66,0.005,8.382500000000002,0.00045788101577758783,
6.68,-0.01375,8.401250000000001,0.0004578874530792236,
6.7,-0.02125,8.408750000000001,0.00045789867973327627,
6.72,0.05125,8.481250000000003,0.0004585926342010497,
6.74,0.18375,8.613750000000003,0.00047302498054504387,
6.76,0.18625,8.616250000000003,0.00047404809761047355,
6.78,0.0675,8.735000000000003,0.00047568341064453115,
6.8,-0.0675,8.870000000000003,0.0004900038833618163,
6.82,-0.13,8.932500000000003,0.0005049362297058105,
6.84,-0.10375,8.958750000000002,0.000504953893661499,
6.86,-0.0625,9.000000000000004,0.0005052365684509277,
6.88,-0.0525,9.010000000000002,0.0005053908042907714,
6.9,-0.0475,9.015000000000002,0.0005054845848083496,
6.92,-0.02875,9.033750000000003,0.0005059498729705809,
6.94,-0.02375,9.038750000000004,0.0005061075801849364,
6.96,-0.0175,9.045000000000002,0.0005063266868591309,
6.98,-0.0125,9.050000000000002,0.0005065204429626464,
7,0.03125,9.093750000000004,0.0005090307140350342,
7.02,0.10375,9.166250000000002,0.0005174087696075439,
7.04,0.10375,9.166250000000002,0.0005174087696075439,
7.06,0.0875,9.182500000000003,0.0005174129600524902,
7.08,0.00625,9.263750000000002,0.0005183139057159423,
7.1,-0.065,9.335000000000003,0.0005221015625,
7.12,-0.04375,9.356250000000003,0.000522110933303833,
7.14,-0.00625,9.393750000000002,0.0005222995891571044,
7.16,-0.02,9.407500000000002,0.0005223021278381347,
7.18,-0.0525,9.440000000000001,0.0005223962020874023,
7.2,-0.0475,9.445000000000002,0.0005223963241577148,
7.22,0.005,9.497500000000002,0.0005226297492980957,
7.24,0.06125,9.55375,0.0005242599315643311,
7.26,0.02875,9.586250000000001,0.0005242934551239014,
7.28,-0.04875,9.663750000000002,0.0005255597362518311,
7.3,-0.01875,9.693750000000001,0.0005255861034393311,
7.32,0.075,9.787500000000001,0.0005275740852355958,
7.34,0.085,9.797500000000003,0.0005281902961730958,
7.36,0.0175,9.865000000000002,0.000528490634918213,
7.38,-0.0475,9.930000000000003,0.0005304619789123536,
7.4,-0.06875,9.951250000000003,0.0005318060512542725,
7.42,0.0525,10.072500000000003,0.0005335468368530274,
7.44,0.12,10.140000000000004,0.0005396049499511719,
7.46,0.0375,10.222500000000004,0.0005401533050537111,
7.48,-0.08125,10.341250000000004,0.0005475648517608643,
7.5,-0.175,10.435000000000004,0.0005700143661499024,
7.52,-0.25625,10.516250000000003,0.0006114788265228273,
7.54,-0.36125,10.621250000000003,0.0006925590267181398,
7.56,-0.41,10.670000000000003,0.0007421984672546389,
7.58,-0.36875,10.711250000000003,0.0007422670116424562,
7.6,-0.19375,10.886250000000004,0.0007520741786956788,
7.62,-0.11375,10.966250000000002,0.0007675891933441164,
7.64,-0.13,10.982500000000003,0.0007675933837890626,
7.66,-0.12375,10.988750000000003,0.0007675936222076418,
7.68,-0.00375,11.108750000000004,0.000807682550430298,
7.7,0.11375,11.226250000000004,0.0008825115261077883,
7.72,0.1175,11.230000000000004,0.000885546859741211,
7.74,0.00625,11.341250000000004,0.0008868914813995362,
7.76,-0.085,11.432500000000005,0.0008936560058593751,
7.78,-0.0425,11.475000000000005,0.0008937309722900392,
7.8,0.0025,11.520000000000003,0.0008943102264404298,
7.82,-0.0025,11.525000000000004,0.0008943103485107423,
7.84,-0.04375,11.566250000000004,0.0008944068393707277,
7.86,0.065,11.675000000000004,0.000897145130157471,
7.88,0.2925,11.902500000000003,0.0010971810035705566,
7.9,0.38375,11.993750000000002,0.001246990930557251,
7.92,0.29375,12.083750000000002,0.0012477028446197511,
7.94,0.0875,12.290000000000003,0.0012723816566467287,
7.96,-0.1225,12.500000000000004,0.0013736963386535646,
7.98,-0.22,12.597500000000004,0.0014619082794189455,
8,-0.21,12.607500000000002,0.0014619092559814454,
8.02,-0.16375,12.653750000000002,0.0014620820865631104,
8.04,-0.085,12.732500000000002,0.0014643109893798828,
8.06,0.045,12.862500000000002,0.0014800817413330078,
8.08,0.155,12.972500000000004,0.001513406692504883,
8.1,0.15,12.977500000000003,0.0015134068145751954,
8.12,-0.07875,13.206250000000002,0.0015258792324066163,
8.14,-0.23375,13.361250000000002,0.0015799258518218993,
8.16,-0.28125,13.408750000000003,0.0016371748905181886,
8.18,-0.145,13.545000000000003,0.0016396449623107912,
8.2,-0.0375,13.652500000000003,0.001651317642211914,
8.22,-0.05625,13.671250000000004,0.0016513240795135498,
8.24,-0.12875,13.743750000000002,0.001652059633255005,
8.26,-0.0925,13.780000000000003,0.0016521061515808108,
8.28,-0.04375,13.828750000000003,0.0016526593647003176,
8.3,0.03875,13.911250000000003,0.0016706588726043705,
8.32,0.08375,13.956250000000002,0.001686146299362183,
8.34,0.13875,14.011250000000002,0.0017110104351043703,
8.36,0.22625,14.098750000000003,0.0017663051586151125,
8.38,0.245,14.117500000000003,0.0017809822921752933,
8.4,0.145,14.217500000000001,0.0017819588546752934,
8.42,0.07125,14.291250000000002,0.0017861047039031985,
8.44,0.0625,14.300000000000002,0.00178691822052002,
8.46,0.095,14.332500000000003,0.0017869517440795902,
8.48,0.09,14.337500000000002,0.0017869518661499028,
8.5,0.01125,14.416250000000002,0.0017935218791961674,
8.52,-0.045,14.472500000000002,0.001804866722106934,
8.54,-0.07125,14.498750000000001,0.001811937471389771,
8.56,-0.0375,14.532500000000002,0.0018119750137329106,
8.58,0.05125,14.621250000000002,0.001813732652664185,
8.6,0.15125,14.721250000000001,0.0018226944446563724,
8.62,0.13,14.742500000000003,0.0018227038154602054,
8.64,0.00375,14.868750000000002,0.0018258282794952397,
8.66,-0.055,14.927500000000002,0.0018312624931335452,
8.68,0.01625,14.998750000000001,0.0018316157207489017,
8.7,0.1425,15.125000000000002,0.0018387856712341311,
8.72,0.165,15.1475,0.0018419505920410158,
8.74,0.14,15.172500000000003,0.0018419658508300784,
8.76,0.1075,15.205000000000002,0.0018421362457275393,
8.78,0.06625,15.246250000000002,0.0018428909893035892,
8.8,-0.07125,15.383750000000003,0.0018548276157379154,
8.82,-0.12125,15.433750000000002,0.0018719164676666263,
8.84,0.0825,15.637500000000003,0.001880176712036133,
8.86,0.21,15.765,0.0019074115104675297,
8.88,0.1925,15.782500000000002,0.001907416744232178,
8.9,0.0525,15.922500000000001,0.0019112269248962406,
8.92,-0.0275,16.0025,0.0019204940147399905,
8.94,0.0375,16.067500000000003,0.001920762203216553,
8.96,0.2525,16.282500000000002,0.001952230682373047,
8.98,0.24125,16.293750000000003,0.0019522320728302003,
9,0.055,16.480000000000004,0.001959753860473633,
9.02,0.01625,16.518750000000004,0.0019651077060699462,
9.04,0.03625,16.53875,0.0019651155185699464,
9.06,0.13125,16.633750000000003,0.001966592935562134,
9.08,0.21625,16.71875,0.0019729202060699462,
9.1,0.195,16.740000000000002,0.0019729295768737797,
9.12,0.10375,16.831250000000004,0.0019743106632232666,
9.14,0.05625,16.878750000000004,0.0019769202060699463,
9.16,-0.04375,16.97875,0.001993246408462525,
9.18,-0.18125,17.11625,0.0020475483760833742,
9.2,-0.315,17.25,0.0021623338966369633,
9.22,-0.335,17.270000000000003,0.0021917690467834474,
9.24,-0.145,17.46,0.0021984672889709474,
9.26,-0.00375,17.60125,0.002227264089584351,
9.28,0.0425,17.6475,0.0022443043098449708,
9.3,-0.04625,17.73625,0.0022449869709014894,
9.32,-0.20625,17.896250000000002,0.0022593353595733645,
9.34,-0.23,17.92,0.002264064884185791,
9.36,-0.20125,17.948750000000004,0.0022640880908966063,
9.38,-0.08375,18.066250000000004,0.002267119718551636,
9.4,0.00375,18.153750000000002,0.0022765374240875246,
9.42,-0.0075,18.165000000000003,0.002276538814544678,
9.44,0.02375,18.196250000000003,0.0022800234508514403,
9.46,0.0925,18.265000000000004,0.002307590141296387,
9.48,0.0725,18.285000000000004,0.0023075979537963867,
9.5,-0.065,18.422500000000007,0.0023114055557250978,
9.52,-0.2225,18.580000000000005,0.0023381134567260742,
9.54,-0.28625,18.643750000000004,0.0023606490077972414,
9.56,-0.28125,18.648750000000007,0.0023606491298675536,
9.58,-0.17125,18.758750000000006,0.0023621342372894287,
9.6,-0.05,18.880000000000003,0.0023735260314941406,
9.62,-0.02375,18.906250000000004,0.002378312963485718,
9.64,0.0575,18.987500000000004,0.002400315898895264,
9.66,0.14125,19.071250000000006,0.0024428991832733155,
9.68,0.13375,19.078750000000007,0.0024428995952606204,
9.7,0.05875,19.153750000000002,0.002443447538375855,
9.72,-0.02375,19.236250000000005,0.002447286024093628,
9.74,0.06,19.320000000000004,0.0024478596839904786,
9.76,0.14375,19.403750000000002,0.002453342836380005,
9.78,0.02,19.527500000000003,0.0024551935348510745,
9.8,-0.05125,19.598750000000003,0.002460583925247193,
9.82,-0.12,19.667500000000004,0.00247126033782959,
9.84,-0.1275,19.675000000000004,0.002472832721710205,
9.86,-0.0925,19.71,0.0024728745918273926,
9.88,-0.19375,19.81125,0.0024909689197540287,
9.9,-0.27875,19.896250000000002,0.0025270778369903568,
9.92,-0.235,19.94,0.0025271596145629883,
9.94,-0.10375,20.071250000000003,0.002532311601638794,
9.96,0.01625,20.191250000000004,0.0025521485157012943,
9.98,0.01625,20.191250000000004,0.0025521485157012943,
10,-0.13625,20.34375,0.0025556119709014896,
10.02,-0.25375,20.46125,0.0025713701953887945,
10.04,-0.24125,20.473750000000003,0.002571372102737427,
10.06,-0.2075,20.5075,0.002571466808319092,
10.08,-0.21625,20.51625,0.0025714674625396733,
