TotalMuLength,Damage,
0.0012499999999999734,1.907348632812378E-12,
0.0012499999999999734,1.907348632812378E-12,
0.0012499999999999976,1.907348632812489E-12,
0.0012499999999999976,1.907348632812489E-12,
0.0012499999999999994,1.907348632812497E-12,
0.0012499999999999994,1.907348632812497E-12,
0.0012500000000000011,1.907348632812505E-12,
0.0012500000000000011,1.907348632812505E-12,
0.0012500000000000011,1.907348632812505E-12,
0.0012500000000000011,1.907348632812505E-12,
0.0012500000000000289,1.907348632812632E-12,
0.0012500000000000289,1.907348632812632E-12,
0.0025000000000000022,1.525878906250004E-11,
0.0025000000000000022,1.525878906250004E-11,
0.0025000000000000022,1.525878906250004E-11,
0.0025000000000000022,1.525878906250004E-11,
0.0037499999999999964,5.149841308593735E-11,
0.0037499999999999964,5.149841308593735E-11,
0.003750000000000031,5.1498413085938784E-11,
0.003750000000000031,5.1498413085938784E-11,
0.0049999999999999975,1.2207031249999981E-10,
0.0049999999999999975,1.2207031249999981E-10,
0.005000000000000001,1.2207031250000007E-10,
0.005000000000000001,1.2207031250000007E-10,
0.0050000000000000044,1.2207031250000033E-10,
0.0050000000000000044,1.2207031250000033E-10,
0.0050000000000001155,1.2207031250000845E-10,
0.0050000000000001155,1.2207031250000845E-10,
0.006249999999999992,2.384185791015616E-10,
0.006249999999999992,2.384185791015616E-10,
0.006250000000000033,2.3841857910156633E-10,
0.006250000000000033,2.3841857910156633E-10,
0.0075,4.1198730468749993E-10,
0.0075,4.1198730468749993E-10,
0.0075000000000000015,4.1198730468750024E-10,
0.0075000000000000015,4.1198730468750024E-10,
0.008749999999999994,6.542205810546861E-10,
0.008749999999999994,6.542205810546861E-10,
0.00875,6.542205810546877E-10,
0.00875,6.542205810546877E-10,
0.008750000000000008,6.542205810546892E-10,
0.008750000000000008,6.542205810546892E-10,
0.008750000000000008,6.542205810546892E-10,
0.008750000000000008,6.542205810546892E-10,
0.008750000000000008,6.542205810546892E-10,
0.008750000000000008,6.542205810546892E-10,
0.010000000000000002,9.765625000000006E-10,
0.010000000000000002,9.765625000000006E-10,
0.010000000000000009,9.765625000000026E-10,
0.010000000000000009,9.765625000000026E-10,
0.011249999999999982,1.390457153320306E-09,
0.011249999999999982,1.390457153320306E-09,
0.011249999999999982,1.390457153320306E-09,
0.011249999999999982,1.390457153320306E-09,
0.01125,1.3904571533203124E-09,
0.01125,1.3904571533203124E-09,
0.01125000000000001,1.3904571533203163E-09,
0.01125000000000001,1.3904571533203163E-09,
0.012499999999999997,1.907348632812499E-09,
0.012499999999999997,1.907348632812499E-09,
0.0125,1.9073486328125E-09,
0.0125,1.9073486328125E-09,
0.014999999999999986,3.2958984374999904E-09,
0.014999999999999986,3.2958984374999904E-09,
0.015,3.2958984374999995E-09,
0.015,3.2958984374999995E-09,
0.01625,4.190444946289063E-09,
0.01625,4.190444946289063E-09,
0.01625,4.190444946289063E-09,
0.01625,4.190444946289063E-09,
0.01874999999999999,6.437301635742176E-09,
0.01874999999999999,6.437301635742176E-09,
0.01874999999999999,6.437301635742176E-09,
0.01874999999999999,6.437301635742176E-09,
0.01875,6.4373016357421874E-09,
0.018750000000000044,6.437301635742233E-09,
0.018750000000000044,6.437301635742233E-09,
0.02,7.812500000000001E-09,
0.02,7.812500000000001E-09,
0.020000000000000004,7.812500000000005E-09,
0.020000000000000004,7.812500000000005E-09,
0.022499999999999992,1.1123657226562487E-08,
0.022499999999999992,1.1123657226562487E-08,
0.02250000000000002,1.112365722656253E-08,
0.02250000000000002,1.112365722656253E-08,
0.023750000000000007,1.308250427246095E-08,
0.023750000000000007,1.308250427246095E-08,
0.023750000000000007,1.308250427246095E-08,
0.023750000000000007,1.308250427246095E-08,
0.024999999999999994,1.525878906249999E-08,
0.024999999999999994,1.525878906249999E-08,
0.026249999999999996,1.7663955688476553E-08,
0.026249999999999996,1.7663955688476553E-08,
0.026250000000000002,1.766395568847657E-08,
0.026250000000000002,1.766395568847657E-08,
0.02750000000000001,2.0309448242187525E-08,
0.02750000000000001,2.0309448242187525E-08,
0.027500000000000024,2.0309448242187555E-08,
0.027500000000000024,2.0309448242187555E-08,
0.028749999999999998,2.3206710815429682E-08,
0.028749999999999998,2.3206710815429682E-08,
0.028749999999999998,2.3206710815429682E-08,
0.028749999999999998,2.3206710815429682E-08,
0.03,2.6367187499999996E-08,
0.03,2.6367187499999996E-08,
0.030000000000000002,2.6367187500000006E-08,
0.030000000000000002,2.6367187500000006E-08,
0.03125,2.9802322387695312E-08,
0.03125,2.9802322387695312E-08,
0.0325,3.35235595703125E-08,
0.0325,3.35235595703125E-08,
0.0325,3.35235595703125E-08,
0.0325,3.35235595703125E-08,
0.03375,3.754234313964844E-08,
0.03375,3.754234313964844E-08,
0.035,4.187011718750001E-08,
0.035,4.187011718750001E-08,
0.03625,4.651832580566405E-08,
0.03625,4.651832580566405E-08,
0.037500000000000006,5.149841308593752E-08,
0.037500000000000006,5.149841308593752E-08,
0.03875000000000001,5.682182312011722E-08,
0.03875000000000001,5.682182312011722E-08,
0.04,6.250000000000001E-08,
0.04,6.250000000000001E-08,
0.04000000000000001,6.250000000000004E-08,
