t,acc,,,,,,,,,,,,,,,,
2.60,8.2,,,,,,,,,,,,,,,,
2.62,7.6,,,,,,,,,,,,,,,,
2.64,5.0,,,,,,,,,,,,,,,,
2.66,2.0,,,,,,,,,,,,,,,,
2.68,-1.0,,,,,,,,,,,,,,,,
2.70,-2.6,,,,,,,,,,,,,,,,
2.72,-3.8,,,,,,,,,,,,,,,,
2.74,-5.0,,,,,,,,,,,,,,,,
2.76,-6.3,,,,,,,,,,,,,,,,
2.78,-5.7,,,,,,,,,,,,,,,,
2.80,-5.0,,,,,,,,,,,,,,,,
2.82,-4.1,,,,,,,,,,,,,,,,
2.84,-1.6,,,,,,,,,,,,,,,,
2.86,0.5,,,,,,,,,,,,,,,,
2.88,0.8,,,,,,,,,,,,,,,,
2.90,0.3,,,,,,,,,,,,,,,,
2.92,-1.7,,,,,,,,,,,,,,,,
2.94,-4.7,,,,,,,,,,,,,,,,
2.96,-7.0,,,,,,,,,,,,,,,,
2.98,-6.2,,,,,,,,,,,,,,,,
3.00,-5.8,,,,,,,,,,,,,,,,
3.02,-5.5,,,,,,,,,,,,,,,,
3.04,-5.0,,,,,,,,,,,,,,,,
3.06,-3.1,,,,,,,,,,,,,,,,
3.08,-2.5,,,,,,,,,,,,,,,,
3.10,-5.2,,,,,,,,,,,,,,,,
3.12,-8.2,,,,,,,,,,,,,,,,
3.14,-9.7,,,,,,,,,,,,,,,,
3.16,-8.8,,,,,,,,,,,,,,,,
3.18,-6.3,,,,,,,,,,,,,,,,
3.20,-3.4,,,,,,,,,,,,,,,,
3.22,-3.3,,,,,,,,,,,,,,,,
3.24,-4.3,,,,,,,,,,,,,,,,
3.26,-4.1,,,,,,,,,,,,,,,,
3.28,-3.2,,,,,,,,,,,,,,,,
3.30,-2.8,,,,,,,,,,,,,,,,
3.32,-2.8,,,,,,,,,,,,,,,,
3.34,-2.8,,,,,,,,,,,,,,,,
3.36,-2.0,,,,,,,,,,,,,,,,
3.38,-1.6,,,,,,,,,,,,,,,,
3.40,-3.2,,,,,,,,,,,,,,,,
3.42,-3.2,,,,,,,,,,,,,,,,
3.44,-2.6,,,,,,,,,,,,,,,,
3.46,-1.2,,,,,,,,,,,,,,,,
3.48,-0.2,,,,,,,,,,,,,,,,
3.50,1.1,,,,,,,,,,,,,,,,
3.52,4.9,,,,,,,,,,,,,,,,
3.54,7.9,,,,,,,,,,,,,,,,
3.56,8.4,,,,,,,,,,,,,,,,
3.58,6.4,,,,,,,,,,,,,,,,
3.60,4.1,,,,,,,,,,,,,,,,
3.62,2.9,,,,,,,,,,,,,,,,
3.64,3.8,,,,,,,,,,,,,,,,
3.66,5.9,,,,,,,,,,,,,,,,
3.68,9.2,,,,,,,,,,,,,,,,
3.70,12.1,,,,,,,,,,,,,,,,
3.72,12.6,,,,,,,,,,,,,,,,
3.74,10.6,,,,,,,,,,,,,,,,
3.76,5.4,,,,,,,,,,,,,,,,
3.78,0.5,,,,,,,,,,,,,,,,
3.80,-1.0,,,,,,,,,,,,,,,,
3.82,-2.7,,,,,,,,,,,,,,,,
3.84,-2.3,,,,,,,,,,,,,,,,
3.86,-0.1,,,,,,,,,,,,,,,,
3.88,2.5,,,,,,,,,,,,,,,,
3.90,4.5,,,,,,,,,,,,,,,,
3.92,5.0,,,,,,,,,,,,,,,,
3.94,4.5,,,,,,,,,,,,,,,,
3.96,4.6,,,,,,,,,,,,,,,,
3.98,4.9,,,,,,,,,,,,,,,,
4.00,3.7,,,,,,,,,,,,,,,,
4.02,0.9,,,,,,,,,,,,,,,,
4.04,-0.8,,,,,,,,,,,,,,,,
4.06,-1.7,,,,,,,,,,,,,,,,
4.08,-3.1,,,,,,,,,,,,,,,,
4.10,-3.8,,,,,,,,,,,,,,,,
4.12,-1.4,,,,,,,,,,,,,,,,
4.14,1.6,,,,,,,,,,,,,,,,
4.16,2.6,,,,,,,,,,,,,,,,
