Freq,T,Amp
,,
0.000488281,2048,21111.53179
0.000976563,1024,3542.140826
0.001464844,682.6666667,2135.650031
0.001953125,512,1545.050309
0.002441406,409.6,1288.748261
0.002929688,341.3333333,3381.743961
0.003417969,292.5714286,744.1380373
0.00390625,256,230.175341
0.004394531,227.5555556,138.2530837
0.004882813,204.8,50.85943985
0.005371094,186.1818182,31.74389021
0.005859375,170.6666667,14.86013643
0.006347656,157.5384615,437.4027215
0.006835938,146.2857143,445.528621
0.007324219,136.5333333,290.1618519
0.0078125,128,81.56892447
0.008300781,120.4705882,148.6135706
0.008789063,113.7777778,85.97694312
0.009277344,107.7894737,244.0839379
0.009765625,102.4,424.3315695
0.010253906,97.52380952,79.10687839
0.010742188,93.09090909,52.77797624
0.011230469,89.04347826,3.868827429
0.01171875,85.33333333,32.82254212
0.012207031,81.92,13.27923043
0.012695313,78.76923077,113.498331
0.013183594,75.85185185,589.5043048
0.013671875,73.14285714,283.0313183
0.014160156,70.62068966,58.75352152
0.014648438,68.26666667,54.97352455
0.015136719,66.06451613,39.00481994
0.015625,64,36.95211847
0.016113281,62.06060606,140.92192
0.016601563,60.23529412,308.1695169
0.017089844,58.51428571,165.2758364
0.017578125,56.88888889,59.01198276
0.018066406,55.35135135,50.0344644
0.018554688,53.89473684,73.42082346
0.019042969,52.51282051,70.24106789
0.01953125,51.2,301.1920159
0.020019531,49.95121951,489.0359955
0.020507813,48.76190476,125.1738793
0.020996094,47.62790698,12.65500844
0.021484375,46.54545455,44.49415295
0.021972656,45.51111111,15.95660178
0.022460938,44.52173913,41.11290087
0.022949219,43.57446809,197.7039578
0.0234375,42.66666667,364.1707763
0.023925781,41.79591837,140.1294344
0.024414063,40.96,37.09843963
0.024902344,40.15686275,100.6862249
0.025390625,39.38461538,66.06589815
0.025878906,38.64150943,139.1223683
0.026367188,37.92592593,351.6329407
0.026855469,37.23636364,268.6978638
0.02734375,36.57142857,38.88932416
0.027832031,35.92982456,10.05361174
0.028320313,35.31034483,36.35423013
0.028808594,34.71186441,17.01736976
0.029296875,34.13333333,81.00157508
0.029785156,33.57377049,299.765294
0.030273438,33.03225806,267.1596108
0.030761719,32.50793651,62.90282783
0.03125,32,46.6411816
0.031738281,31.50769231,74.62013565
0.032226563,31.03030303,49.22426519
