,,,,,,,上フランジ,,,,骨格曲線累積塑性歪,,下フランジ,,,,骨格曲線累積塑性歪,
Step,載荷Q,根元M,部材θ,累積変形角,θ(危険断面),M(危険断面),εn,σn ,εt,σt,Σεpt,Σεpst+,εn,σn,εt,σt,Σεpt,Σεpst+
720,550600,1108.1625706161133,0.015913086729451922,0.01664056486566864,9.30943024236761E-05,1097.1401773029977,-0.025623506585281414,-426.9563554326891,-0.02595750648137349,-416.01623644763185,0.024358898536349625,0,0.027384389214759653,400.1844796635441,0.02701614447847807,411.14328721235665,0.025426125377536,0.025426125377536
740,545749,1098.2726770809425,0.015859581574467325,0.016694070020653238,9.302503649194405E-05,1087.3473957743238,-0.025603826545896363,-422.9117210450511,-0.025937309113337314,-412.0835626951871,0.024358898536349625,0,0.02736462923261648,396.14392635191837,0.026996911003278504,406.98425801929153,0.025426125377536,0.025426125377536
760,540898,1088.382783545772,0.01580607642057992,0.01674757517454064,9.2955770560157E-05,1077.5546142378744,-0.02558414650649568,-418.86708665420184,-0.02591711215321062,-408.1507297424917,0.024358898536349625,0,0.02734486925045762,392.10337303708445,0.02697767715813013,402.82538850544694,0.025426125377536,0.025426125377536
780,536047,1078.4928900106015,0.01575257126778974,0.01680108032733082,9.288650462831497E-05,1067.7618326936497,-0.025564466467079373,-414.8224522601414,-0.025896915600976823,-404.2177375895454,0.024358898536349625,0,0.027325109268283073,388.0628197190426,0.026958442943018492,398.6666786708235,0.025426125377536,0.025426125377536
800,531196,1068.6029964754298,0.01569906611609676,0.016854585479023805,9.281723869641794E-05,1057.9690511416486,-0.025544786427647435,-410.77781786286903,-0.025876719456619558,-400.28458623634697,0.024358898536349625,0,0.027305349286092837,384.022266397792,0.026939208357929362,394.5081285154207,0.025426125377536,0.025426125377536
820,526345,1058.7131029402567,0.01564556096550096,0.0169080906296196,9.274797276446591E-05,1048.1762695818709,-0.025525106388199874,-406.7331834623848,-0.025856523720122124,-396.3512756828962,0.024358898536349625,0,0.027285589303886908,379.9817130733328,0.026919973402848504,390.3497380392391,0.025426125377536,0.025426125377536
840,521494,1048.8232094050836,0.015592055816002379,0.016961595779118183,9.267870683245888E-05,1038.383488014318,-0.02550542634873669,-402.6885490586891,-0.025836328391468277,-392.4178059291931,0.024358898536349625,0,0.027265829321665287,375.9411597456654,0.026900738077761905,386.1915072422796,0.025426125377536,0.025426125377536
860,516643,1038.933315869911,0.015538550667600994,0.017015100927519563,9.260944090039682E-05,1028.5907064389899,-0.025485746309257876,-398.643914651782,-0.025816133470641545,-388.4841769752372,0.024358898536349625,0,0.027246069339427983,371.90060641479,0.026881502382655326,382.03343612454273,0.025426125377536,0.025426125377536
880,511792,1029.043422334738,0.015485045520296812,0.017068606074823744,9.254017496827978E-05,1018.7979248558865,-0.02546606626976344,-394.5992802416635,-0.025795938957625223,-384.5503888210283,0.024358898536349625,0,0.027226309357174985,367.8600530807064,0.026862266317514098,377.8755246860285,0.025426125377536,0.025426125377536
900,507040,1019.1535287995649,0.01543128489586919,0.01712236669925136,9.247089501803413E-05,1009.0031613970257,-0.02544638224739725,-390.5538272732205,-0.02577574076555132,-380.6156452962422,0.024358898536349625,0,0.027206545375871312,363.81868201423174,0.026843025989207802,373.71693149504165,0.025426125377536,0.025426125377536
920,502189,1009.2636352643921,0.015377779750768986,0.017175871844351563,9.240162908580767E-05,999.2103797984505,-0.025426702207871715,-386.50919285671165,-0.0257555470681894,-376.6815387093392,0.024358898536349625,0,0.027186785393587095,359.7781286737644,0.026823789183880325,369.55933944732436,0.025426125377536,0.025426125377536
940,497338,999.3737417292191,0.015324274606766004,0.01722937698835455,9.233236315352622E-05,989.4175981921,-0.025407022168330556,-382.46455843699164,-0.025735353778588713,-372.7472729221822,0.024358898536349625,0,0.02716702541128719,355.737575330089,0.026804552008476135,365.40190707883124,0.025426125377536,0.025426125377536
960,492487,989.4838481940462,0.015270769463860195,0.017282882131260363,9.226309722118977E-05,979.6248165779742,-0.02538734212877377,-378.41992401406026,-0.02571516089673267,-368.81284793477073,0.024358898536349625,0,0.027147265428971598,351.6970219832054,0.026785314462980346,361.2446343895623,0.025426125377536,0.025426125377536
980,474469,952.8912421139063,0.015072979279358507,0.017480672315762058,9.20068230837156E-05,943.3929118453212,-0.025314528770276346,-363.4553496097183,-0.02564045363934156,-354.25464870531226,0.024358898536349625,0,0.02707415629359123,336.7475469821175,0.026714135051999575,345.8647027005948,0.025426125377536,0.025426125377536
1000,455164,913.3316679732145,0.014858703256800932,0.017694948338319628,9.172974533493668E-05,904.2198033286314,-0.025235804628806813,-347.27599328349504,-0.025559688136275727,-338.51220416471796,0.024358898536349625,0,0.026995112364906034,320.5845157860959,0.026637171796738048,329.2387308121905,0.025426125377536,0.025426125377536
1020,435760,873.7720938325227,0.014644682729955172,0.01790896886516538,9.145268160334769E-05,865.0486765549916,-0.025157084469942335,-331.0974554607854,-0.025478933241130885,-322.76800880597546,0.024358898536349625,0,0.026916072435003734,304.4223022677093,0.02656020651165058,312.6161550063776,0.025426125377536,0.025426125377536
1040,416356,834.212519691831,0.014430662220664671,0.018122989374455886,9.117561787087878E-05,825.8775496569477,-0.02507836431082785,-314.91891758669396,-0.025398184866556095,-307.0212662430833,0.024358898536349625,0,0.026837032504850415,288.26008869799307,0.026483235302207482,295.99613406823215,0.025426125377536,0.025426125377536
1060,396952,794.6529455511392,0.014216641728929455,0.018337009866191096,9.089855413752993E-05,786.7064226344992,-0.024999644151463364,-298.7403796612207,-0.025317443011498412,-291.2719764760171,0.024358898536349625,0,0.026757992574446072,272.0978750769468,0.02640625816749687,279.37866799777834,0.025426125377536,0.025426125377536
1080,377548,755.0933714104475,0.014002621254749515,0.018551030340371037,9.062149040330114E-05,747.5352954876465,-0.024920923991848858,-282.5618416843657,-0.025236707674905143,-275.52013950475276,0.024358898536349625,0,0.0266789526437907,255.93566140457082,0.02632927510660622,262.76375679504065,0.025426125377536,0.025426125377536
1100,358144,715.5337972697557,0.013788600798124847,0.0187650507969957,9.034442666819241E-05,708.3641682163892,-0.024842203831984353,-266.383303656129,-0.025155978855723855,-259.765755329266,0.024358898536349625,0,0.026599912712884307,239.77344768086482,0.026252286118623007,246.15140046004313,0.025426125377536,0.025426125377536
1120,338740,675.974223129064,0.013574580359055457,0.018979071236065105,9.006736293220377E-05,669.1930408207277,-0.02476348367186983,-250.20476557651048,-0.02507525655290248,-244.00882394953254,0.024358898536349625,0,0.026520872781726882,223.61123390582884,0.02617529120263494,229.54159899281032,0.025426125377536,0.025426125377536
1140,319336,636.4146489883722,0.013360559937541342,0.019193091657579212,8.97902991953352E-05,630.0219133006618,-0.024684763511505302,-234.02622744551022,-0.02499454076538887,-228.24934536552806,0.024358898536349625,0,0.02644183285031844,207.44902007946294,0.026098290357728423,212.93435239336645,0.025426125377536,0.025426125377536
1160,300031,596.8550748476804,0.013146284055770363,0.019407367539350198,8.951322143953685E-05,590.848803791572,-0.024606039368041403,-217.84687070940387,-0.024913827408807755,-212.48652203252365,0.024358898536349625,0,0.026362788919630762,191.2859884739716,0.02602127968668014,196.32882061139384,0.025426125377536,0.025426125377536
1180,280627,557.2955007069887,0.01293226366940507,0.01962138792571548,8.923615770091061E-05,551.6776760230124,-0.024527319207177486,-201.66833247577026,-0.02483312464908534,-196.72194891115785,0.024358898536349625,0,0.026283748987720908,175.12377454507595,0.0259442669808985,179.72668387700097,0.025426125377536,0.025426125377536
1200,261223,517.7359265662969,0.012718243300595056,0.019835408294525493,8.895909396140448E-05,512.5065481300483,-0.024448599046063568,-185.48979419075485,-0.024752428401516608,-180.95482858544824,0.024358898536349625,0,0.026204709055560018,158.96156056485032,0.025867248343458268,163.12710201047,0.025426125377536,0.025426125377536
1220,172024,335.7618855191168,0.011733596543645301,0.020820055051475234,8.768459233752157E-05,332.31816910256265,-0.024086483912012315,-111.0680262861684,-0.02438130706077903,-108.39278805788766,0.024358898536349625,0,0.02584112296497236,84.61488495852154,0.02551288384660465,86.8014286054017,0.025426125377536,0.025426125377536
1240,-21917,-59.833855887795536,0.009593139151681656,0.022960512443438892,8.491394083558742E-05,-59.39510424941599,-0.023299278292787134,50.718180304324186,-0.023574997604833225,49.536483306909986,0.024358898536349625,0,0.025050719618996218,-77.0080777529108,0.024742093921268485,-78.93718551709682,0.025426125377536,0.025426125377536
1260,-215858,-455.429597294708,0.007420435604185874,0.025133215990934675,8.146976830153889E-05,-451.10874451411803,-0.02240194329497661,235.1381358929891,-0.022656678388975615,229.87058470622787,0.024358898536349625,0,0.02398694277591951,-243.36452655340256,0.02370377534062786,-249.2020975255278,0.025686231462617035,0.025426125377536
1280,-252686,-530.5927881620219,0.006832153253616239,0.025721498341504303,7.916505138402746E-05,-525.5348324930102,-0.021762867771840458,268.1806715267428,-0.022003171846607973,262.3442910333429,0.024883456477589033,0,0.023313712486224675,-251.7133625046743,0.02304609928095281,-257.5817354670491,0.026343907522292084,0.025426125377536
1300,-272090,-570.1523623027136,0.006488181224992441,0.026065470370128095,7.774585800968086E-05,-564.7060795125876,-0.021374249450212976,273.5841909318245,-0.02160598681115497,267.736534189213,0.025280641513042035,0,0.0228942421004992,-256.91528150690164,0.022636101469478007,-262.79716216103856,0.026753905333766887,0.025426125377536
1320,-291395,-609.7119364434053,0.006124810541638999,0.026428841053481537,7.609051903103435E-05,-603.8793573678888,-0.02091858079005035,279.92000761994376,-0.02114047422027329,274.0644783257944,0.025746154103923717,0,0.02240736074622051,-262.9531746570276,0.022160004093132405,-268.84526130093155,0.02723000271011249,0.025426125377536
1340,-310799,-649.2715105840971,0.005736180903785479,0.026817470691335058,7.414874116822023E-05,-643.0506760899759,-0.02038728270874388,287.3074089143534,-0.02059797186175191,281.44999154449977,0.026288656462445097,0,0.0218330105124406,-270.07578330046306,0.021598083629210632,-275.97235071641774,0.027791923174034262,0.025426125377536
1360,-330203,-688.8310847247889,0.005319955670102259,0.027233695925018273,7.182826005136105E-05,-682.2220279293362,-0.019757111619384735,296.0695838308972,-0.01995489273974647,290.2201040160454,0.026931735584450535,0,0.02114189965386013,-278.64635903175747,0.020921510577329796,-284.5374723933204,0.0284684962259151,0.025426125377536
1380,-349607,-728.3906588654806,0.0048768172013448595,0.02767683439377568,6.912779700430613E-05,-721.3934242532174,-0.01901563384051202,306.37941572404253,-0.019198756180371025,300.55341693836414,0.02768787214382598,0,0.020345733773739785,-288.5197388022037,0.020141524544156773,-294.38988459634226,0.029248482259088122,0.025426125377536
1400,-369011,-767.9502330061724,0.004409776858532202,0.028143874736588335,6.623447265261949E-05,-760.5648636635925,-0.018212516521984037,317.5463107820246,-0.018380405984960737,311.7629933504119,0.02850622233923627,0,0.019501392206417403,-298.9905529356699,0.019313676609093514,-304.82128497448196,0.03007633019415138,0.025426125377536
1420,-388415,-807.5098071468641,0.003921059107776236,0.028632592487344306,6.312275112755114E-05,-799.7363211793785,-0.017353044922570535,329.4967804513351,-0.01750537382569387,323.7790080183207,0.029381254498503137,0,0.018589049569456995,-310.30465915448787,0.018418384938812295,-316.0729278451441,0.0309716218644326,0.025426125377536
1440,-407819,-847.0693812875559,0.003414698666869361,0.02913895292825118,5.987844273960535E-05,-838.9078263074209,-0.016461799625999623,341.88904552659085,-0.016598800652622276,336.2609365648079,0.03028782767157473,0,0.017632985669931565,-322.16095970758556,0.01747932824142226,-327.8416192935208,0.031910678561822635,0.025426125377536
1460,-427223,-886.6289554282477,0.002893011010431614,0.029660640584688928,5.644306756145878E-05,-878.0792928235531,-0.015512354429279167,351.62677407374247,-0.015633929919510656,346.1722149274865,0.03125269840468635,0.0003029038835779402,0.016626328240215368,-334.6446786793492,0.01648962402328012,-340.20859095091345,0.032900382779964765,0.025426125377536
1480,-446528,-926.1885295689394,0.0023056957089930383,0.030247955886127498,5.1023787833505156E-05,-917.2526251149927,-0.013974680562036445,351.84231595725066,-0.014073245766032135,346.925431983541,0.032813382558164864,0.0018635880370564614,0.015078264230361285,-341.6540010341486,0.014965717137230732,-346.80555033710164,0.03442428966601416,0.025426125377536
1500,-465932,-965.7481037096312,0.0013704120981418457,0.031183239496978696,3.564544326150706E-05,-956.4246763051037,-0.009669909313619678,352.44573292538837,-0.00971696649150484,349.03761465002765,0.03716966183269217,0.006219867311583756,0.010626606079482334,-345.43853260516727,0.010570540542264513,-349.1093718158368,0.03881946626098039,0.025426125377536
1520,-479495,-993.4398056081154,0.00046654871563829434,0.03208710287948225,1.9170133813792245E-05,-983.8452573839634,-0.005000354066442332,356.9451558817754,-0.005012897669278229,355.1603037200651,0.041873730654918784,0.01092393613381037,0.005915120127130857,-354.84011251778145,0.005897694486809722,-356.93903440924873,0.043492312316435175,0.025426125377536
1540,-484346,-1003.3296991432884,0.00020101038182327526,0.03235264121329727,1.627324561684807E-05,-993.6381086655039,-0.004177190147138344,360.7327972059586,-0.004185938978087915,359.22594771972024,0.04270068934610911,0.011750894825000684,0.005088795907094831,-359.57087143831336,0.005075891744455073,-361.4006542171992,0.04431411505878982,0.025426125377536
1560,-489197,-1013.2195926784614,-0.00010113732742785137,0.0326547889225484,1.337635953921132E-05,-1003.4309527827836,-0.0033540268300451728,364.5204357591767,-0.0033596641867935143,363.29782443754067,0.04352696413740351,0.012577169616295082,0.004262472291581635,-364.3016268979135,0.004253413688802831,-365.85445248834395,0.045136593114442077,0.025426125377536
1580,-494048,-1023.1094862136342,-0.00043170284303016955,0.03298535443815072,1.0446267653132764E-05,-1013.2237169259033,-0.0025154460636985488,368.3790149434603,-0.002518615113646579,367.4523774003716,0.04436801321055043,0.01341821868944202,0.003432658737995128,-369.05236247581604,0.003426780612880163,-370.3191932926464,0.04596322619036474,0.025426125377536
1600,-498899,-1032.999379748807,-0.0007891109483875387,0.03334276254350809,7.405856535666238E-06,-1023.0164400374395,-0.001640275380295587,372.40595607685384,-0.0016416221048246773,371.79510775562557,0.04524500621937234,0.014295211698263923,0.0025766193311126478,-373.95324273835945,0.0025733055385581015,-374.9167778925314,0.04681670126468678,0.025426125377536
1620,-503750,-1042.8892732839802,-0.0011850292931600143,0.033738680888280574,4.359598087078457E-06,-1032.8091529135147,-0.0007618040025375843,376.44808476408025,-0.0007620943226607515,376.16130510635935,0.04612453400153626,0.01517473948042785,0.0017205511482447672,-378.85428774525656,0.0017190726957104468,-379.5061259250541,0.04767093410753443,0.025426125377536
1640,-508601,-1052.779166819153,-0.0016359912299169746,0.03418964282503754,1.3208950653148613E-06,-1042.6018676169037,0.00011373156762148307,380.47670485852115,0.00011372510067698915,380.51997707060815,0.047000353424874006,0.016050558903765597,0.0008658492178116422,-383.74751086972947,0.0008654745866115752,-384.07977835185324,0.0485245322166333,0.025426125377536
1660,-513452,-1062.669060354326,-0.0021679887980797096,0.03472164039320028,-1.7127769050169336E-06,-1052.394597097292,0.0009873118025880408,384.4963278283261,0.0009868247308583592,384.8759455908428,0.04787345305505537,0.016923658533946964,1.2056632871274844E-05,-388.6355279331946,1.2056560190568508E-05,-388.6402135690756,0.04937795024305429,0.025426125377536
1680,-518303,-1072.558953889499,-0.002813759769102416,0.03536741136422299,-4.7464574437086905E-06,-1062.1873542364492,0.0018608945049109842,388.5159621512296,0.0018591651857864054,389.238949370267,0.048745793509983426,0.017795998988875013,-0.000841738363536869,-393.5235588024667,-0.0008420928241958883,-393.1923149260671,0.05023209962744074,0.025426125377536
1700,-523154,-1082.4488474246696,-0.003548645695833038,0.036102297290953614,-7.793449000477716E-06,-1071.980139941045,0.002734477314131127,392.5355969660013,0.002730745432655862,393.6089766508938,0.04961737375685289,0.01866757923574447,-0.0017031125467410113,-398.4549810000773,-0.0017045644916991165,-397.7763673226246,0.051094571294943984,0.025426125377536
1720,-528005,-1092.3387409598404,-0.004315801334914709,0.036869452930035275,-1.0860387160639917E-05,-1081.7729371473613,0.0036080574892490467,396.5552196604234,0.003601564064239399,397.98601369062,0.050488192388436416,0.019538397867328014,-0.002575846960019452,-403.4514412402142,-0.0025791701617328393,-402.4122120717801,0.0519691769649777,0.025426125377536
1740,-532856,-1102.2286344950107,-0.005091282650852656,0.03764493424597321,-1.3989574494882467E-05,-1091.5656407481167,0.004514876051205028,400.72778283800426,0.004504714572058988,402.53701910779205,0.051391342896256006,0.020441548375147604,-0.003450787666181182,-408.4605326479798,-0.0034567553667399814,-407.0510220797963,0.05284676216998483,0.025426125377536
